titre,artiste,album,langue,genre,annee,source
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,français,Alternative,2018,https://music.apple.com/fr/album/someone-you-loved/1452618876?i=1452619054&uo=4
Be Honest (feat. Burna Boy),Jorja Smith,Be Honest (feat. Burna Boy) - Single,français,R&B/Soul,2019,https://music.apple.com/fr/album/be-honest-feat-burna-boy/1475942211?i=1475942440&uo=4
Temperature,Sean Paul,The Trinity (Bonus Version),français,Reggae,2005,https://music.apple.com/fr/album/temperature/261648822?i=261648942&uo=4
The Sound of Silence (CYRIL Remix),Disturbed,The Sound of Silence (CYRIL Remix) - Single,français,Dance,2024,https://music.apple.com/fr/album/the-sound-of-silence-cyril-remix/1728492837?i=1728492838&uo=4
Baianá,Bakermat,Baianá - Single,français,Dance,2019,https://music.apple.com/fr/album/baian%C3%A1/1486580901?i=1486580902&uo=4
Unstoppable,Sia,This Is Acting,français,Pop,2016,https://music.apple.com/fr/album/unstoppable/1055074478?i=1055074639&uo=4
Bad Habits,Ed Sheeran,Bad Habits - Single,français,Pop,2021,https://music.apple.com/fr/album/bad-habits/1571330207?i=1571330212&uo=4
All I Want for Christmas Is You,Mariah Carey,Merry Christmas,français,Noël : pop,1994,https://music.apple.com/fr/album/all-i-want-for-christmas-is-you/585972750?i=585972803&uo=4
Flowers (Demo),Miley Cyrus,Endless Summer Vacation,français,Pop,2023,https://music.apple.com/fr/album/flowers-demo/1702906527?i=1702907219&uo=4
Before You Go,Lewis Capaldi,Divinely Uninspired To a Hellish Extent (Extended Edition),français,Alternative,2019,https://music.apple.com/fr/album/before-you-go/1485383702?i=1485384412&uo=4
Beat It,Michael Jackson,Thriller,français,Pop,1982,https://music.apple.com/fr/album/beat-it/269572838?i=269573341&uo=4
I Follow Rivers (The Magician Remix),Lykke Li,Wounded Rhymes,français,Alternative,2011,https://music.apple.com/fr/album/i-follow-rivers-the-magician-remix/482678187?i=482678717&uo=4
Andalouse,Kendji Girac,Kendji,français,Variété française,2015,https://music.apple.com/fr/album/andalouse/1440815058?i=1440815250&uo=4
J't'emmène au vent,Louise Attaque,Louise Attaque,français,Rock,1997,https://music.apple.com/fr/album/jtemm%C3%A8ne-au-vent/1440857665?i=1440857674&uo=4
Me Gustas Tú,Manu Chao,Próxima Estación: Esperanza,français,Musiques du monde,2001,https://music.apple.com/fr/album/me-gustas-t%C3%BA/726124221?i=726124491&uo=4
Something Just Like This,The Chainsmokers & Coldplay,Memories...Do Not Open,français,Dance,2017,https://music.apple.com/fr/album/something-just-like-this/1207120422?i=1207120448&uo=4
One More Time,Daft Punk,Discovery,français,Dance,2000,https://music.apple.com/fr/album/one-more-time/697194953?i=697195462&uo=4
Billie Jean,Michael Jackson,Thriller,français,Pop,1982,https://music.apple.com/fr/album/billie-jean/269572838?i=269573364&uo=4
Zombie,GIMS,Subliminal la face cachée,français,Hip-hop/Rap,2013,https://music.apple.com/fr/album/zombie/749310581?i=749321963&uo=4
Eté 90,Therapie TAXI,Rupture 2 merde,français,Pop,2021,https://music.apple.com/fr/album/et%C3%A9-90/1544428078?i=1544428903&uo=4
changes,XXXTENTACION,?,français,Pop,2018,https://music.apple.com/fr/album/changes/1359292515?i=1359294051&uo=4
Thunderstruck,AC/DC,The Razors Edge,français,Hard rock,1990,https://music.apple.com/fr/album/thunderstruck/574049507?i=574051407&uo=4
Tiki Taka,Vacra,Tiki Taka - Single,français,Afro pop,2022,https://music.apple.com/fr/album/tiki-taka/1647819174?i=1647819411&uo=4
Ta reine,Angèle,Brol,français,Variété française,2018,https://music.apple.com/fr/album/ta-reine/1434408195?i=1434408441&uo=4
Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,français,Pop,2014,https://music.apple.com/fr/album/uptown-funk-feat-bruno-mars/943946661?i=943946671&uo=4
Bad boy,Marwa Loud,Loud,français,Hip-hop/Rap,2018,https://music.apple.com/fr/album/bad-boy/1339753881?i=1339754169&uo=4
Despacito,Luis Fonsi & Daddy Yankee,VIDA,français,Pop en espagnol,2017,https://music.apple.com/fr/album/despacito/1447401519?i=1447401620&uo=4
Jolie madame (feat. Ronisia),Joé Dwèt Filé,Jolie madame (feat. Ronisia) - Single,français,R&B/Soul,2021,https://music.apple.com/fr/album/jolie-madame-feat-ronisia/1561013032?i=1561013033&uo=4
